s,cost for k=1,cost for k=2,cost for k=3,cost for k=4,cost for k=5
0.5,0.03219810147151662,0.036004784364966756,0.03682641695732101,0.03762007495516958,0.03617840089836185
0.51,0.0327989333067279,0.03693152255665481,0.03789334804943665,0.03885151272621989,0.03746825238517999
0.52,0.03340212855777461,0.0378723872373175,0.0389812443152263,0.040113215430232906,0.0387879346810929
0.53,0.03400723393876479,0.03882704813887742,0.04008993880566735,0.041405309641596465,0.04002743216511057
0.54,0.03461377511964514,0.03979513865471056,0.041219223981818515,0.042727879944976635,0.041296218488817954
0.55,0.035221256814061505,0.04077625483001422,0.042368850044714516,0.04408096640749168,0.04259434463480258
0.56,0.03582916294474517,0.041769954421758085,0.043538523310700274,0.04546456204841107,0.04392181704982293
0.5700000000000001,0.036436956891067344,0.04277575603776006,0.04472790464341105,0.046782083414217086,0.0452785952177096
0.5800000000000001,0.03704408182325572,0.04379313836469644,0.045936607954157355,0.04810465981667534,0.04666458925119135
0.5900000000000001,0.03764996112756591,0.04482153949506668,0.04716419878297781,0.049450756472745584,0.04807965751601068
0.6000000000000001,0.03825399892644686,0.045860356363278856,0.04841019297307126,0.050819983229495144,0.049523604301555266
0.6100000000000001,0.03885558069742841,0.04683760969556128,0.04967405545169862,0.052211894936483344,0.0509961775530498
0.6200000000000001,0.03945407399408912,0.04780861221155221,0.05095519913094606,0.05362598987202865,0.05249706668111386
0.6300000000000001,0.04004882927203234,0.04878460911523749,0.052252983941952935,0.05506170829234859,0.054025900465182214
0.6400000000000001,0.04063918082230544,0.04976481656882764,0.05355352528198124,0.056518431119167004,0.05558224506789009
0.6500000000000001,0.04122444781414248,0.05074841473948655,0.05477582722964385,0.05799547878158486,0.05716560217803218
0.6600000000000001,0.04180393544829351,0.05173454839264691,0.056007735461535646,0.05948367577730898,0.058775407300096394
0.6700000000000002,0.04237693622152556,0.052722327652582335,0.057248339293280714,0.06098163485022554,0.06041102820863597
0.6800000000000002,0.04294273130214361,0.05371082893617872,0.05849668003560006,0.06249632929497104,0.062071763585862604
0.6900000000000002,0.043500592015587355,0.054699096065024835,0.05975175157248838,0.06402680074302132,0.06375684186080405
0.7000000000000002,0.044049781438316005,0.05568614156000895,0.06101250115557508,0.06557202879937525,0.06546542026816014
0.7100000000000002,0.04458955609730303,0.056670948121567824,0.06227783042250801,0.06708163211327012,0.06713093128651568
0.7200000000000002,0.04511916777153372,0.05757974620319403,0.06354659664607293,0.06853109639958126,0.06870236474785137
0.7300000000000002,0.04563786539093664,0.05846920634426459,0.06481761421949198,0.06998667652251238,0.0702851252218624
0.7400000000000002,0.046144897027196166,0.05935053842776609,0.06608965638193603,0.07144707667286766,0.07187794929686037
0.7500000000000002,0.046639511969894326,0.06022266513840743,0.0673614571867458,0.07291095217159944,0.07347951545478175
0.7600000000000002,0.0471209628804309,0.06108449620176076,0.06863171371319053,0.0743769115353174,0.07508844571076098
0.7700000000000002,0.047588508015178735,0.06193493105667322,0.06989908852081526,0.07584351881955076,0.07670330755338861
0.7800000000000002,0.04804141350836187,0.06277286167255858,0.07116221234354853,0.0773092962392467,0.07832261618855611
0.7900000000000003,0.048478955704210173,0.06359717550180918,0.07241968701878074,0.07877272706386268,0.07994483708764138
0.8000000000000003,0.04890042352705685,0.06440675855605825,0.07353704414344493,0.0802322587821855,0.08156838883850662
0.8100000000000003,0.049305120877222754,0.06520049859354145,0.07458651978949471,0.08168630652971388,0.08319164629539132
0.8200000000000003,0.04969236903978275,0.06597728840337122,0.07562078818131265,0.0831332567690916,0.08481294402130315
0.8300000000000003,0.050061509092651384,0.06673602917116996,0.0766385025817447,0.0845714712117032,0.08643058001396729
0.8400000000000003,0.050411904299870476,0.06747563390922966,0.07763831899506372,0.08599929096617508,0.08804281970381947
0.8500000000000003,0.050742942475539704,0.06819503093319428,0.078618900181091,0.08741504089718274,0.08961987555253716
0.8600000000000003,0.051054038303518186,0.06889316736622059,0.07957891974955639,0.08881703417569195,0.0911423110149554
0.8700000000000003,0.05134463559784607,0.06953537627653003,0.0805170663128843,0.09020357699957782,0.09265280274886617
0.8800000000000003,0.05161420948880188,0.07010244457865136,0.08143204767439827,0.09152892055237086,0.09414961380970457
0.8900000000000003,0.05186226851962847,0.07064370854618231,0.08232259502793071,0.09270027129197346,0.0956310018498022
0.9000000000000004,0.052088356639232544,0.0711583194332434,0.0831874671440275,0.09384769139696222,0.09709522415208402
0.9100000000000004,0.052292055076593236,0.07164546900898731,0.08402545451736353,0.09496969824053071,0.09845153464777055
0.9200000000000004,0.05247298408320253,0.07210439254253573,0.08483538344965778,0.0960648370837463,0.09965129899134777
0.9300000000000004,0.05263080453060277,0.07253437164407545,0.08553759928935296,0.09713168577962232,0.10082381181264231
0.9400000000000004,0.05276521935097869,0.07293473694254766,0.08620838906722095,0.09816885940507683,0.10196760005948356
0.9500000000000004,0.0528759748097965,0.07330487058131047,0.08684698249605788,0.09917501479180107,0.103081229165111
0.9600000000000004,0.05296286160064931,0.07364420851430666,0.08745248914947881,0.10014885492738734,0.10416330767219927
0.9700000000000004,0.05302571575375564,0.07395224258662288,0.08802407540095065,0.10103900708858109,0.10521249171517184
0.9800000000000004,0.05306441935095095,0.07422852238486037,0.08856096727635243,0.10181216830294922,0.10622748933245599
0.9900000000000004,0.05307890104149474,0.07447265684444321,0.08906245306293199,0.10244948628139992,0.10720706458141273
1.0000000000000004,0.053069136354570334,0.07468431560283934,0.0895278856575549,0.10304613695738517,0.10815004143004509
1.0100000000000005,0.053035147805961136,0.07486323008964732,0.08984967415519421,0.10360138007945226,0.10905530740123037
1.0200000000000005,0.052977004798026535,0.07500919434657853,0.09013296616797985,0.10411455235389949,0.10967579711252926
1.0300000000000005,0.052894823313751116,0.07512206557251634,0.09037745238010468,0.10458506938310316,0.11013995895231202
1.0400000000000005,0.052788765407281966,0.07520176439103335,0.09058289750246087,0.10495157930053509,0.1105584398204574
1.0500000000000005,0.052659038494980256,0.07524827483996613,0.09074914070659792,0.10525878594115541,0.11093083629129334
1.0600000000000005,0.052505894452572345,0.07526164408485614,0.09087609573262921,0.10552193480744254,0.11125683226454985
1.0700000000000005,0.05232962852547712,0.07524198186023884,0.09096375067308297,0.10574087207358666,0.11153619937222448
1.0800000000000005,0.052130578060787996,0.07518945964487127,0.09101216743723094,0.10591552678370163,0.11176879700391597
1.0900000000000005,0.05190912107068533,0.07510430957900728,0.0910214809028876,0.1060459103225944,0.11195457195498264
1.1000000000000005,0.05166567463823444,0.07498682313373628,0.09099189776502241,0.10613211554046849,0.1120935577047751
1.1100000000000005,0.05140069317757083,0.07479033790155103,0.09087668345012165,0.10617431554214211,0.11213886169234306
1.1200000000000006,0.051114666561379946,0.07453621218171771,0.09069713677007862,0.10617276215377203,0.11211164026241718
1.1300000000000006,0.050808118129333876,0.07425125044023317,0.09048001539602868,0.10612778408230092,0.11203852436166067
1.1400000000000006,0.050481602591748595,0.07393605660673355,0.09022588911553062,0.10603978478486231,0.11191997294871711
1.1500000000000006,0.05013570384316815,0.07359128214563651,0.08993538781180097,0.10590924006717262,0.11175652105741676
1.1600000000000006,0.04977103270086727,0.07321762328782849,0.08960919855309694,0.10573669543148889,0.1115487769024001
1.1700000000000006,0.04938822458339201,0.07281581813916753,0.08924806251063408,0.10552276319601259,0.11129741874718863
1.1800000000000006,0.04898793714423588,0.07238664368592078,0.08885277172757348,0.1052681194086633,0.11100319155933006
1.1900000000000006,0.048570847875579776,0.07193091271735953,0.08842416576198167,0.10497350057892654,0.11066690347802396
1.2000000000000006,0.04813765169671775,0.07144947068564089,0.08796312822680236,0.10463970025200715,0.11028942212014277
1.2100000000000006,0.04768905854135827,0.07094319252281978,0.08747058324978543,0.10426756544978763,0.10987167075079668
1.2200000000000006,0.04722579095743868,0.07041297943437544,0.08694749187601361,0.10385799300311852,0.10941462434457186
1.2300000000000006,0.04674858173243845,0.06985975568801367,0.08639484843516101,0.10341192579976193,0.10891930556330355
1.2400000000000007,0.04625817155642967,0.06928446541573499,0.08581367689492622,0.10293034897188158,0.10838678067574548
1.2500000000000007,0.04575530673428095,0.06868806944626037,0.08520502722122761,0.10241428604634872,0.10781815544379092
1.2600000000000007,0.045240736957544186,0.06807154218389297,0.08456997176474457,0.1017247580948183,0.10721457099899678
1.2700000000000007,0.04471521314561665,0.06743586854878796,0.08390960169225781,0.10095798390680477,0.10657719973209004
1.2800000000000007,0.044179485364798536,0.06678204099242097,0.0832250234800072,0.10016150477389128,0.1059072412169184
1.2900000000000007,0.04363430083287039,0.06611105660080444,0.0825173554849619,0.09933664538263413,0.10519336943168753
1.3000000000000007,0.04308040201580888,0.0654239142967222,0.08178772460851104,0.09848474244465925,0.10427983937452555
1.3100000000000007,0.04251852482225534,0.0647216121509481,0.08103726306565068,0.09760714080369953,0.10333922812531332
1.3200000000000007,0.041949396900360494,0.06400514481110442,0.08026710527128225,0.09670518967693084,0.10237297534852466
1.3300000000000007,0.04137373604065921,0.0632755010555134,0.07947838485377115,0.0957802390432114,0.10138252097558631
1.3400000000000007,0.04079224868769249,0.06253366147811176,0.07867223180445167,0.09483363618908992,0.10036930153769924
1.3500000000000008,0.040205628562196345,0.06178059630925256,0.07779754896066007,0.09386672242173671,0.09933474667789605
1.3600000000000008,0.03961455539482455,0.06101726337601223,0.07688597983645623,0.09288082995627278,0.09828027585015758
1.3700000000000008,0.03901969377157273,0.06024460620447257,0.0759615187697395,0.09187727898335384,0.09720729521168728
1.3800000000000008,0.038421692090326344,0.05946355226535769,0.07502530876767642,0.09085737492131007,0.09611719471278636
1.3900000000000008,0.03782118162726989,0.05867501136338574,0.07407847348310495,0.08982240585566618,0.09501134538720242
1.4000000000000008,0.03721877571127064,0.05787987416974719,0.07312211530502721,0.08877364016747634,0.09389109684434645
1.4100000000000008,0.036615069003788706,0.05707901089625038,0.07215731362040911,0.08771232435061155,0.09275777496339642
1.4200000000000008,0.03601063688136676,0.05627327010888162,0.07118512324520249,0.08663968101693846,0.09161267978803282
1.4300000000000008,0.03540603491731713,0.055463477677816043,0.07020657302159584,0.08555690708723308,0.09045708361939124
1.4400000000000008,0.034801798458849176,0.05465043586028129,0.06917414346201131,0.0844166510490065,0.08929222930376503
1.4500000000000008,0.034198442295565235,0.053834922512123524,0.06813841171585487,0.08326965755773871,0.08811932871065231
1.4600000000000009,0.03359646041499565,0.053017690423448754,0.06710047575051327,0.08211719127334541,0.08693956139591362
1.4700000000000009,0.032996325840641036,0.052199466773311734,0.06606126248964071,0.08096034467510246,0.08575407344408698
1.4800000000000009,0.0323984905478377,0.05138095269809436,0.06502166571785882,0.07980017566419674,0.08456397648329239
1.4900000000000009,0.031803385452659566,0.050562822967955584,0.0639825456621492,0.07863770686410085,0.08337034686564607
1.5000000000000009,0.031211420469010456,0.049745725765536555,0.06294472870379264,0.07747392507242964,0.08217422500568726
