rank,s=0.5,s=0.6,s=0.7,s=0.8,s=0.9,s=1.0,s=1.1,s=1.2,s=1.3,s=1.4,s=1.5
41,0.002527042276637366,0.002859213242343954,0.003135050149399961,0.0033135072422945584,0.0033599595629364813,0.0032583446461570773,0.0030189938031452276,0.002676662763453176,0.0022791908098741855,0.0018732630606485754,0.0014942717039249903
42,0.0024967772055020537,0.0028181706420383344,0.0030826107513258322,0.0032502410959965532,0.0032878739584065223,0.003180765011724766,0.002940019727515275,0.002600369939055099,0.002208897793107395,0.0018111197315449357,0.0014412237891028414
43,0.0024675741283105004,0.002778662418537506,0.0030322518741627896,0.0031896295420862945,0.003218977282487768,0.0031067937323823298,0.002864897990767526,0.002527971297203191,0.002142351394596206,0.0017524285939373488,0.0013912419815364666
44,0.002439372354932603,0.0027405974842391015,0.002983845406499131,0.003131503261404163,0.003153059113019813,0.0030361847839190954,0.0027933574911426402,0.002459184277385949,0.00207927158870887,0.0016969241153745407,0.0013440837884549654
45,0.0024121159424152208,0.0027038920716632763,0.0029372738064019645,0.0030757072652913475,0.003089927285100873,0.0029687140109431152,0.002725151799307703,0.0023937526317543314,0.0020194050171001192,0.0016443666093015796,0.0012995308295486192
46,0.0023857532279929097,0.002668468998174933,0.0028924290178816946,0.0030220993969027523,0.0030294059441286947,0.0029041767498356563,0.0026600564259744983,0.0023314434572521896,0.0019625219264030715,0.0015945392144319482,0.0012573859699274502
47,0.0023602364170458127,0.002634257018697319,0.0028492115191954552,0.002970549017868794,0.0029713338435140755,0.002842385755158302,0.0025978664437590554,0.0022720446183990203,0.001908413515058808,0.0015472452836475662,0.001217470847428233
48,0.0023355212185238896,0.002601190254266108,0.0028075294845276203,0.0029209358539919123,0.002915562851857531,0.0027831693852591703,0.0025383944109404408,0.0022153625022527544,0.0018568896272604686,0.0015023061195614084,0.001179623732982401
49,0.0023115665215077434,0.002569207686165675,0.002767298043495856,0.0028731489778612436,0.0028619566400622898,0.0027263700100497996,0.0024814685534201445,0.002161220056844855,0.001807776742461495,0.0014595590046089352,0.0011436976733329436
50,0.0022883341075306944,0.0025382527069550053,0.0027284386253335568,0.0028270859097262123,0.0028103895235268308,0.0026718426098488036,0.002426931168255259,0.0021094550723515793,0.0017609162174285658,0.0014188554822569593,0.0011095588739650536
51,0.002265788394081238,0.0025082727209912725,0.0026908783765908044,0.002782651820829374,0.002760745438414449,0.002619453539067454,0.0023746372179499816,0.002059918670801757,0.0017161627447997573,0.001380059853039814,0.0010770852871024152
52,0.0022438962053690273,0.002479218788143816,0.0026545496428531414,0.0027397588257734623,0.0027129170341912857,0.0025690794325469264,0.002324453089485298,0.0020124739755037918,0.0016733829978438383,0.001343047854971754,0.0010461653753379891
53,0.0022226265669944914,0.0024510453052991703,0.0026193895063617695,0.002698325352477238,0.002666804867281287,0.0025206062357064182,0.002276255496039524,0.0019669949358244324,0.0016324544358485317,0.0013077055026919963,0.0010166970261653793
54,0.002201950521631081,0.002423709721020661,0.0025853393725794524,0.002658275579931086,0.002622316682905331,0.0024739283424525956,0.002229930502656322,0.001923365286645073,0.0015932642484848814,0.0012739280636726463,0.0009885865965516387
55,0.002181840963225218,0.0023971722793691154,0.002552344599722914,0.0026195389353542097,0.002579366774031074,0.002428947827135276,0.002185372659874601,0.0018814776248979265,0.0015557084207533174,0.0012416191531169386,0.00096174806990104
56,0.0021622724875546982,0.0023713957894352464,0.002520354166106975,0.002582049643527128,0.0025378754079236833,0.002385573758793575,0.0021424842316448123,0.0018412325881564534,0.0015196909028358393,0.001210689931921024,0.0009361023104261453
57,0.002143221257271707,0.0023463454175958235,0.002489320370843862,0.0025457463220638636,0.002497768312106824,0.0023437215875866703,0.0021011745057977474,0.0018025381224121555,0.0014851228714551333,0.001181058394367122,0.0009115764021668686
58,0.002124664879799972,0.0023219884998986655,0.002459198564034375,0.0025105716172282525,0.0024589762126598805,0.002303312594697245,0.00206135917696918,0.0017653088279858458,0.001451922071253846,0.0011526487341399108,0.0008881030617598685
59,0.0021065822966637704,0.0022982943723169314,0.0024299469030931,0.0024764718756133844,0.0024214344187254246,0.002264273398176952,0.0020229597932686742,0.001729465374054875,0.0014200122263189408,0.0011253907788765785,0.0008656201156237908
60,0.002088953683005023,0.0022752342169003476,0.0024015261322818853,0.0024433968476127296,0.0023850824479082137,0.0022265355082073364,0.0019859032591559053,0.0016949339735764265,0.0013893225133386233,0.0010992194848268321,0.0008440700335426269
61,0.0020717603561983228,0.0022527809220976107,0.002373899382896049,0.002411299419133026,0.0023498636879363995,0.0021900349261055768,0.001950121387987814,0.001661645911490118,0.0013597870890346636,0.001074074484355242,0.0008233995117419912
62,0.002054984692606104,0.002230908955736418,0.002347031991865965,0.0023801353684463145,0.002315725090545986,0.002154711782136132,0.0019155504985531534,0.001629537120022819,0.0013313446654954109,0.0010498996799997008,0.0008035590994958941
63,0.0020386100516307086,0.002209594249330784,0.0023208913368107887,0.0023498631454632875,0.002282616894056465,0.002120510007816511,0.001882131050641152,0.00159854779572131,0.001303938127872594,0.001026642879635207,0.0007845028641027815
64,0.0020226207063192754,0.002188814092543776,0.00229544668581785,0.0023204436710418798,0.002250492371541876,0.0020873770389443777,0.0018498073153173974,0.0015686220535258875,0.0012775141896213434,0.0010042554680053256,0.000766188089752343
65,0.0020070017798635895,0.0021685470367712504,0.0022706690604262633,0.0022918401542318043,0.002219307601878111,0.002055263546037541,0.0018185270761188169,0.0015397076137883563,0.0012520230810769716,0.0009826921104939875,0.0007485750063879444
66,0.0019917391874120856,0.0021487728069316684,0.002246531110471206,0.0022640179256042284,0.002189021261273007,0.002024123189279397,0.0017882413578441934,0.0015117555186460398,0.001227418267689808,0.0009619104855339714,0.0007316265451692428
67,0.001976819582676668,0.0021294722206511548,0.0022230069996000772,0.0022369442850315754,0.0021595944331681887,0.001993912395409555,0.0017589041800181312,0.001484719874601926,0.0012036561946940593,0.000941871042498829,0.0007153081175686699
68,0.001962230308874299,0.0021106271141238734,0.002200072300406686,0.0022105883624702707,0.0021309904346470763,0.001964590154300591,0.0017304723324542079,0.0014585576185403499,0.001180696055379315,0.0009225367823133654,0.0006995874155048602
69,0.0019479593535934963,0.002092220274007313,0.0021777038982474495,0.0021849209904630834,0.0021031746576972185,0.0019361178332237706,0.0017029051706450224,0.0014332283047363706,0.001158499580473129,0.0009038730583533814,0.0006844342302348371
70,0.0019339953072199493,0.0020742353747818226,0.002155879902906812,0.00215991458722093,0.0020761144238616667,0.0019084590070348598,0.0016761644289695844,0.001408693910702643,0.0011370308464379014,0.0008858473954960561,0.0006698202880023907
71,0.00192032732459425,0.0020566569210649804,0.0021345795673695686,0.0021355430492694377,0.0020497788509772786,0.001881579302710425,0.0016502140499375954,0.001384918659966238,0.0011162561007415344,0.000868429325434632,0.0006557191006789709
72,0.0019069450896089125,0.0020394701944253277,0.0021137832130373553,0.0021117816527556482,0.0020241387308407854,0.001855446256839447,0.0016250200278903192,0.0013618688600848148,0.0010961436023845647,0.000851590236590524,0.0006421058298408876
73,0.0018938387824820472,0.002022661204287525,0.0020934721607966202,0.002088606962607038,0.0019991664167690153,0.0018300291848279478,0.001600550265752978,0.0013395127544011786,0.001076663476161304,0.0008353032371472313,0.0006289571629071857
74,0.0018809990494717739,0.002006216642563022,0.002073628667407172,0.0020659967488202997,0.001974835720130067,0.001805299060708651,0.0015767744435872858,0.001317820386201363,0.001057787579302958,0.0008195430298974862,0.000616251200120025
75,0.0018684169748191112,0.0019901238416774993,0.002054235866735045,0.002043929909232562,0.0019511218150195491,0.0017812284065658694,0.0015536638978278076,0.0012967634740871012,0.0010394893792999766,0.0008042857977412213,0.0006039673512869895
76,0.001856084054728122,0.0019743707356993092,0.002035277715401741,0.002022386398194279,0.0019280011503419014,0.0017577911906900027,0.0015311915102047104,0.001276315297501708,0.0010217438418320133,0.0007895090988000799,0.0005920862413251962
77,0.0018439921732107576,0.001958945824302409,0.002016738942464819,0.002001347160621902,0.0019054513686327882,0.0017349627336680545,0.0015093316054603412,0.0012564505914612054,0.0010045273278491303,0.0007751917702267202,0.0005805896237527163
78,0.001832133579640509,0.001943838139323323,0.001998605002782857,0.0019807940709607157,0.0018834512310258473,0.001712719621697951,0.0014880598570596857,0.0012371454496420877,0.0009878174989494577,0.0007613138398861729,0.0005694603013656264
79,0.0018205008678738124,0.0019290372136948515,0.0019808620337517188,0.00196070987663465,0.0018619805478267905,0.0016910396264865847,0.0014673532001767367,0.0012183772350650946,0.0009715932302881615,0.0007478564451737664,0.0005586820534207084
80,0.0018090869568114154,0.0019145330525599496,0.001963496815129238,0.001941078145601186,0.0018410201142109173,0.0016699016311555023,0.0014471897513114436,0.001200124497692211,0.0009558345303317882,0.000734801758311163,0.0005482395687158237
81,0.0017978850722838004,0.0019003161063876858,0.001946496731692369,0.001921883217666303,0.0018205516506073205,0.001649285561635064,0.001427548733956409,0.001182366898323162,0.0009405224668422239,0.0007221329175301625,0.0005381183840235935
82,0.0017868887301553727,0.0018863772459297322,0.0019298497384949535,0.0019031101592472605,0.0018005577473751816,0.0016291723230785389,0.0014084104097898376,0.0011650851382389615,0.0009256390985367082,0.0007098339636142546,0.0005283048273902688
83,0.0017760917205516806,0.0018727077388706783,0.0019135443285157705,0.001884744721300411,0.001781021813415114,0.0016095437408727735,0.0013897560149223006,0.0011482608940945808,0.0009111674119256002,0.0006978897813214095,0.000518785965861508
84,0.0017654880931225001,0.0018592992280387544,0.0018975695025058867,0.0018667733001575006,0.0017619280283921333,0.0015903825058623832,0.001371567700770403,0.0011318767576113625,0.0008970912628787407,0.0006862860452591309,0.0005095495572409951
85,0.0017550721432613365,0.0018461437110555152,0.0018819147408616283,0.0018491829010375113,0.0017432612982768922,0.0015716721234404728,0.001353828479171106,0.0011159161796630936,0.0008833953225150371,0.0006750091698250915,0.0005005840055271226
86,0.0017448383992088388,0.0018332335213137908,0.0018665699773650858,0.0018319611040222366,0.0017250072139387914,0.0015533968661911649,0.0013365221713868068,0.001100363418388336,0.0008700650270489459,0.0006640462628643408,0.0004918783197079226
87,0.0017347816099738955,0.0018205613101829042,0.0018515255746480803,0.0018150960323027958,0.0017071520125487827,0.001535541729798163,0.0013196333606838447,0.0010852034909961904,0.0008570865312624233,0.0006533850827277093,0.0004834220756255853
88,0.001724896734011841,0.0018081200303488934,0.0018367723012481477,0.0017985763225214061,0.001689682541571429,0.0015180923919595477,0.0013031473481962845,0.001070422128963655,0.0008444466653021084,0.0006430139984460484,0.00047520538064970563
89,0.0017151789286043188,0.0017959029202053878,0.0018223013101364806,0.0017823910970481388,0.0016725862251453691,0.0015010351740723615,0.0012870501118130426,0.0010560057363505184,0.0008321328945294684,0.0006329219527618365,0.00046721884092324313
90,0.0017056235398899822,0.0017839034892179013,0.0018081041186080679,0.0017665299380463003,0.0016558510326689655,0.0014843570054715576,0.0012713282678499895,0.0010419413509826566,0.0008201332821766885,0.000623098427783734,0.00045945353096740407
91,0.0016962260934994182,0.0017721155041907975,0.0017941725894335694,0.0017509828631926286,0.0016394654494238487,0.0014680453900268152,0.0012559690352898492,0.0010282166082770474,0.0008084364545836141,0.0006135334130512724,0.0004519009654515698
92,0.0016869822857514818,0.0017605329763720218,0.0017804989131808857,0.001735740302929862,0.0016234184490834197,0.0014520883749178282,0.0012409602023918471,0.0010148197075019786,0.0007970315688112754,0.000604217375816245,0.0004445530729522622
93,0.001677887975371698,0.0017491501493360178,0.0017670755916220182,0.0017207930791395079,0.001607699467966387,0.001436474521424088,0.0012262900954902855,0.0010017393802841275,0.0007859082824457549,0.0005951412333647982,0.0004374021715411734
94,0.0016689391756965343,0.0017379614875900663,0.0017538954221477335,0.001706132385131971,0.0015922983809071767,0.001421192877579151,0.0012119475498167994,0.0009889648611905975,0.0007750567254225719,0.000586296327219924,0.00043044094605671813
95,0.0016601320473302085,0.0017269616658536898,0.0017409514831188478,0.0016917497668596342,0.001577205478625716,0.001406232952552002,0.0011979218821951364,0.0009764858602288187,0.0007644674737165701,0.0005776743990781875,0.0004236624269265549
96,0.0016514628912233109,0.0017161455589647428,0.0017282371200886563,0.0016776371052661847,0.0015624114464887677,0.0013915846926295852,0.001184202865470036,0.0009642925371206235,0.0007541315247556764,0.0005692675683472945,0.0004170599704202226
97,0.0016429281421449027,0.0017055082323694619,0.001715745932836238,0.001663786599692444,0.0015479073445637715,0.0013772384586849503,0.0011707807045433563,0.000952375477218946,0.0007440402744290027,0.0005610683111626263,0.0004106272402216087
98,0.0016345243625219246,0.001695044933157066,0.00170347176315512,0.0016501907522653114,0.0015336845888741482,0.0013631850050249,0.0011576460139010555,0.0009407256689465852,0.0007341854955707093,0.0005530694407712975,0.0004043581902205007
